,job_title,company_name,python, R ,SQL,D3.js,matlab,excel,SAS,BigML,Apache Spark,Jupyter,Tableau,Scikit,Tensorflow,Weka,Matplotlib,ggplot,nltk,Azure,BI
50,Director of Data & Analytics,TeamSnap_ Inc.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
51,Junior Business Analyst - Reporting & Data Insights,Teach For America,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
52,Data Scientist,Florida Blue,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
53,Data Science Manager - Marketplaces (Remote),Yelp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,Data Scientist,Alpha Net Consulting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,Manager - Data Analytics,TDS,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
56,Sr. Data Analyst (remote),AllWays Health Partners,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
57,Staff Data Scientist (Remote, Americas)_Shopify,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
58,Data Scientist-1,Mattress Firm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,Data Scientist,Qventus,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
60,Site Payment Analyst (remote),IQVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,Senior Data Analyst,Mighty,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
62,Data Engineer,Rhino New York,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Data Engineering Co-op,Keurig Dr Pepper,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
64,Senior Data Scientist,NVIDIA,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
65,Data Scientist, Advertising Business Insights_Spotify,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
66,Data Scientist,Inspire,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1
67,Data Science – Health Care Client Success Lead,Cowen_ Inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,Sr Manager, Data Science_Amazon Web Services_ Inc.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
69,Data Scientist,Realogy Holdings Corp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,Lead Data Scientist,Atomic,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
71,Data Scientist - Shops Seller Ecosystem,Facebook,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
