,job_title,company_name,python, R ,SQL,D3.js,matlab,excel, SAS ,BigML,Apache Spark,Jupyter,Tableau,Scikit,Tensorflow,Weka,Matplotlib,ggplot,nltk,Azure, BI ,Total num of tools
48,Junior Business Analyst - Reporting & Data Insights,Teach For America,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Online Adjunct Faculty - MBA Data Analytics,Herzing University,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,Data Scientist,Garner Health,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
51,Data Science Manager, Instagram Graph_Facebook,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
52,Senior Data Analyst,Latchable_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Data Science Research Specialist,University of Minnesota,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
54,Data Analyst,Honda R&D Americas_ Inc.,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3
55,Data Engineering Co-op,Keurig Dr Pepper,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5
56,Data Scientist-1,Mattress Firm_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Data Analyst,Babylist,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,5
58,Director, Product Analytics and Data Science - Data Science_Slack,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
59,Data Scientist,Blocknative Corporation,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
60,Data Scientist,Emerson,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5
61,Data Engineer, Analytics (Product Specialist)_Facebook,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
62,Data Science - Online Adjunct, Graduate Level_University of the Sciences in Philadelphia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,Data Scientist,Grammarly_ Inc._,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,Data Science Manager (Remote, Americas)_Shopify,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3
65,RESEARCH ASSOCIATE FOR ECONOMIC STUDIES,Cato Institute,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,Full Stack React + Python Dev / AI Software (Remote),Involve.ai,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
67,Data Science Manager,TrueAccord,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
68,Data Scientist / Analyst (Remote),Avant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
69,Data Scientist,Samaritan Ministries International,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
70,Data Analyst,IBM,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
71,Data Scientist,Fama Technologies,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
72,Data Scientist, Analytics-Remote Presence_Facebook,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
73,Data Scientist,Alpha Net Consulting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,Software Engineer, Data Science - RetailMeNot_RetailMeNot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Data Scientist, Advertising_Spotify,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4
76,Data Scientist/ Coach,Softrams,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,Data Science Manager for Experiential Learning,Red Lambda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,Data Scientist, Music Analytics_Spotify,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
79,Business Analyst,Kaplan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,Senior Data Scientist- Machine Learning Scientist,Medibio,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4
81,Healthcare Research Data Analyst,Imidex,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
82,Data Scientist - Geospatial & Agriculture Analytics,McKinsey & Company,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,Service Desk Engineer,Dovel Technologies_ LLC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,Data Scientist, Product Analytics (Knowledge Base)_Etsy,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4
85,Data Analytics Leader,Stantec,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
86,Sr. Data Engineer,Cognizant Technology Solutions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2
87,DATA ANALYST (PROJECT/TEMPORARY),University of Washington,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
88,Data Scientist,Realogy Holdings Corp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,Remote Data Scientist Interesting Credit Analysis Work,Recruiting for Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,Finance Data Analyst - Data Management - Remote - US,MassMutual,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,Data Analyst III: 21-03149,Akraya Inc.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
92,Data Scientist,Qventus,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4
93,Data Scientist, Risk and Fraud_Eventbrite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
94,Business Intelligence Analyst I (Remote Available),USAA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
95,Operations Research Data Scientist (Remote),Allstate,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
96,Senior Data Analyst,Curation Health,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4
97,Data Scientist,Inspire,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,6
98,Senior Data Scientist, Engineering_Eventbrite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
99,Senior Data Analyst - Remote,Evolent Health,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4
100,Cloud Data Engineer,BlackLine,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
101,Data Engineer (Remote - North America),Paytm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,Data Scientist,Metis,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
103,Mathematical Statistician,US Department of Energy_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Associate Data Scientist (Remote),KOHLS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105,Sr. Data Scientist,Zoetis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
106,Software Engineer (Machine Learning),Cresta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
107,Data Engineer - Senior | McLean, VA (Remote to start)_iknowvate technologies,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
108,Data Science Lead,JOYN BIO,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
109,Nationwide-Remote Director, Data Analytics - Data Engineer_The Travelers Companies_ Inc.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4
110,Senior Data Scientist,Evolent Health,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
111,Market Senior Clinical Pharmacist - Telecommute in UT, ID_UnitedHealth Group_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
