,job_title,company_name,python, R ,SQL,D3.js,matlab,excel, SAS ,BigML,Apache Spark,Jupyter,Tableau,Scikit,Tensorflow,Weka,Matplotlib,ggplot,nltk,Azure, BI 
66,Full Stack React + Python Dev / AI Software (Remote),Involve.ai,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Data Science Manager,TrueAccord,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,Data Scientist / Analyst (Remote),Avant,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Data Scientist,Samaritan Ministries International,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
70,Data Analyst,IBM,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,Data Scientist,Fama Technologies,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
72,Data Scientist, Analytics-Remote Presence_Facebook,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Data Scientist,Alpha Net Consulting,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Software Engineer, Data Science - RetailMeNot_RetailMeNot,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Data Scientist, Advertising_Spotify,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
76,Data Scientist/ Coach,Softrams,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Data Science Manager for Experiential Learning,Red Lambda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Data Scientist, Music Analytics_Spotify,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
79,Business Analyst,Kaplan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Senior Data Scientist- Machine Learning Scientist,Medibio,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
81,Healthcare Research Data Analyst,Imidex,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Data Scientist - Geospatial & Agriculture Analytics,McKinsey & Company,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Service Desk Engineer,Dovel Technologies_ LLC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Data Scientist, Product Analytics (Knowledge Base)_Etsy,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
85,Data Analytics Leader,Stantec,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
86,Sr. Data Engineer,Cognizant Technology Solutions,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
87,DATA ANALYST (PROJECT/TEMPORARY),University of Washington,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Data Scientist,Realogy Holdings Corp,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Remote Data Scientist Interesting Credit Analysis Work,Recruiting for Good,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Finance Data Analyst - Data Management - Remote - US,MassMutual,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Data Analyst III: 21-03149,Akraya Inc.,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Data Scientist,Qventus,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
93,Data Scientist, Risk and Fraud_Eventbrite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Business Intelligence Analyst I (Remote Available),USAA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,Operations Research Data Scientist (Remote),Allstate,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Senior Data Analyst,Curation Health,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
97,Data Scientist,Inspire,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
98,Senior Data Scientist, Engineering_Eventbrite,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Senior Data Analyst - Remote,Evolent Health,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
100,Cloud Data Engineer,BlackLine,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Data Engineer (Remote - North America),Paytm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Data Scientist,Metis,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Mathematical Statistician,US Department of Energy_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Associate Data Scientist (Remote),KOHLS,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Sr. Data Scientist,Zoetis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Software Engineer (Machine Learning),Cresta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
107,Data Engineer - Senior | McLean, VA (Remote to start)_iknowvate technologies,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Data Science Lead,JOYN BIO,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
109,Nationwide-Remote Director, Data Analytics - Data Engineer_The Travelers Companies_ Inc.,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
110,Senior Data Scientist,Evolent Health,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
111,Market Senior Clinical Pharmacist - Telecommute in UT, ID_UnitedHealth Group_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Machine Learning Engineer,SpineZone,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
113,Data Scientist I (Remote),KOHLS,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Data Scientist,Codoxo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Business Analyst,Kaplan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Specialist, Operational Analytics_Concentrix_,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Data Engineer (Remote - North America),Paytm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Principal Data Scientist - Remote,Splunk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Data & Insights - Data Scientist,RR Donnelley,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
120,BI Analyst, Ops_Drizly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
121,DATA ANALYST (PROJECT/TEMPORARY),University of Washington,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Principal Data Engineer - Remote,Splunk,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Senior Data Scientist,ClarisHealth,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
